ir_id,ir_sl_id,ir_type_nm,ir_ref_cd,ir_moved_qy
1,321,INV,22,4
2,181,INV,7,3
3,302,INV,36,7
4,121,INV,3,1
5,185,INV,8,3
6,256,INV,20,1
7,41,INV,48,1
8,85,INV,6,5
9,174,INV,47,4
10,256,INV,20,1
11,73,INV,8,6
12,107,INV,1,7
13,261,INV,47,4
14,36,INV,22,4
15,93,INV,46,1
16,261,INV,39,6
17,276,INV,10,6
18,93,INV,46,6
19,47,INV,4,4
20,38,INV,39,3
21,120,INV,26,2
22,166,INV,21,3
23,5,INV,32,6
24,230,INV,8,7
25,271,INV,10,5
26,333,INV,17,6
27,103,INV,47,5
28,221,INV,36,4
29,95,INV,8,6
30,206,INV,11,4
31,36,INV,22,2
32,34,INV,11,4
33,117,INV,16,2
34,89,INV,31,6
35,163,INV,5,7
36,88,INV,26,1
37,327,INV,46,3
38,52,INV,50,2
39,321,INV,50,1
40,174,INV,14,3
41,104,INV,32,6
42,168,INV,31,6
43,314,INV,49,2
44,269,INV,20,1
45,218,INV,47,5
46,151,INV,33,2
47,140,INV,24,2
48,335,INV,23,7
49,335,INV,19,5
50,114,INV,9,5
51,237,INV,48,1
52,11,INV,38,6
53,36,INV,13,1
54,298,INV,35,1
55,179,INV,12,7
56,291,INV,34,6
57,237,INV,6,1
58,3,INV,23,7
59,218,INV,47,4
60,284,INV,35,1
61,208,INV,40,2
62,34,INV,11,4
63,54,INV,42,7
64,314,INV,49,2
65,75,INV,41,1
66,52,INV,50,6
67,85,INV,6,1
68,178,INV,28,2
69,264,INV,26,1
70,28,INV,29,2
71,138,INV,44,3
72,321,INV,50,1
73,340,INV,37,5
74,151,INV,33,4
75,208,INV,40,2
76,263,INV,17,5
77,117,INV,16,2
78,284,INV,35,1
79,36,INV,13,5
80,84,INV,27,4
81,107,INV,1,2
82,319,INV,1,2
83,213,INV,7,3
84,291,INV,34,6
85,200,INV,18,1
86,160,INV,41,5
87,142,INV,30,6
88,290,INV,34,6
89,213,INV,9,5
90,261,INV,18,5
91,227,INV,10,5
92,283,INV,40,6
93,103,INV,31,4
94,5,INV,32,4
95,86,INV,6,6
96,138,INV,44,3
97,94,INV,33,3
98,20,INV,50,5
99,166,INV,21,3
100,46,INV,46,7
101,290,INV,3,1
102,102,INV,20,2
103,259,INV,36,3
104,47,INV,15,2
105,237,INV,48,1
106,176,INV,15,4
107,31,INV,18,3
108,34,INV,11,1
109,27,INV,5,1
110,212,INV,29,2
111,46,INV,17,5
112,4,INV,4,3
113,165,INV,47,7
114,290,INV,3,1
115,330,INV,18,3
116,261,INV,47,4
117,37,INV,8,3
118,262,INV,28,2
119,89,INV,18,5
120,321,INV,25,3
121,283,INV,40,6
122,319,INV,35,1
123,214,INV,39,1
124,325,INV,32,2
125,47,INV,15,3
126,235,INV,36,4
127,18,INV,33,7
128,261,INV,47,6
129,335,INV,19,5
130,161,INV,4,1
131,54,INV,42,7
132,305,INV,28,2
133,255,INV,20,3
134,11,INV,38,2
135,255,INV,20,1
136,287,INV,33,3
137,213,INV,9,5
138,46,INV,46,6
139,201,INV,25,7
140,103,INV,31,6
141,154,INV,43,7
142,262,INV,28,5
143,244,INV,17,4
144,5,INV,32,2
145,174,INV,47,7
146,321,INV,25,3
147,154,INV,43,7
148,290,INV,33,4
149,130,INV,12,7
150,348,INV,49,2
151,207,INV,16,2
152,208,INV,40,6
153,174,INV,14,7
154,271,INV,4,7
155,161,INV,4,3
156,263,INV,17,3
157,13,INV,9,4
158,200,INV,18,6
159,235,INV,36,3
160,185,INV,8,7
161,5,INV,32,2
162,89,INV,32,6
163,67,INV,35,5
164,163,INV,5,6
165,38,INV,39,3
166,346,INV,32,6
167,348,INV,49,2
168,37,INV,15,2
169,163,INV,5,3
170,207,INV,11,1
171,84,INV,27,4
172,142,INV,30,6
173,276,INV,10,6
174,200,INV,43,7
175,271,INV,4,5
176,132,INV,46,7
177,160,INV,26,7
178,335,INV,23,7
179,88,INV,26,7
180,213,INV,9,1
