ve_vendor_id,ve_vendor_nb,ve_vendor_nm,ve_address,ve_city,ve_state,ve_zip_code,ve_country,ve_telephone
1,290152,Eazzy,96 Judy Road,San Francisco,California,94147,US,1-(415)714-9415
2,669372,Centimia,96 Oak Valley Crossing,Washington,District of Columbia,20575,US,1-(202)932-8018
3,718788,Dabjam,8 Fulton Place,Bellevue,Washington,98008,US,1-(206)241-9472
4,178774,Gabspot,9009 Elmside Parkway,Salt Lake City,Utah,84135,US,1-(801)803-2373
5,704743,Avamm,1355 Northwestern Avenue,Orange,California,92862,US,1-(714)882-9023
6,926744,Feedspan,898 Manufacturers Point,Akron,Ohio,44393,US,1-(234)460-8018
7,058096,Skivee,90588 Fisk Center,Boulder,Colorado,80328,US,1-(303)289-9354
8,819852,Kare,7 Oneill Junction,Gulfport,Mississippi,39505,US,1-(228)849-5894
9,860975,Kaymbo,6962 Main Place,Austin,Texas,78754,US,1-(512)250-1706
10,509413,DabZ,9 Mcbride Hill,Daytona Beach,Florida,32128,US,1-(386)877-2787
11,076965,Browsetype,2028 Moland Crossing,Huntington,West Virginia,25726,US,1-(304)334-5833
12,133032,Aibox,12201 Prairie Rose Point,Saint Louis,Missouri,63136,US,1-(314)338-2500
13,565510,Meevee,3658 Bashford Lane,Huntington,West Virginia,25721,US,1-(304)185-8193
14,659854,Twitterlist,6028 Fallview Lane,Hartford,Connecticut,06140,US,1-(860)290-1411
15,190913,Skaboo,4966 Reindahl Lane,Atlanta,Georgia,31190,US,1-(404)255-4490
16,153647,Skippad,1198 Summerview Drive,Shreveport,Louisiana,71166,US,1-(318)452-9282
17,837121,Skyvu,52052 Morrow Park,Boise,Idaho,83757,US,1-(208)825-6291
18,513807,Dabshots,02 Chive Junction,Washington,District of Columbia,20099,US,1-(202)441-1987
19,465759,Yozio,3909 Helena Junction,Sarasota,Florida,34233,US,1-(941)866-4901
20,876044,Feedbug,3252 Colorado Trail,Salt Lake City,Utah,84152,US,1-(801)263-8230
21,798655,Gabtune,95731 Annamark Pass,Boston,Massachusetts,02298,US,1-(617)721-3257
22,088670,Omba,628 Bobwhite Hill,Washington,District of Columbia,20337,US,1-(202)729-5622
23,394383,Divape,974 Lunder Junction,Saint Paul,Minnesota,55114,US,1-(612)547-6749
24,804102,Browsebug,35792 La Follette Drive,Grand Rapids,Michigan,49505,US,1-(616)328-9873
25,103750,Flashdog,3856 Sherman Parkway,Sarasota,Florida,34238,US,1-(941)248-1109
26,104223,Skyble,750 Burning Wood Hill,Mount Vernon,New York,10557,US,1-(914)854-1359
27,849059,Babblestorm,028 Debs Drive,Jackson,Mississippi,39210,US,1-(601)123-4580
28,045613,Avaveo,145 Moose Parkway,Topeka,Kansas,66667,US,1-(785)792-2109
29,624978,Tagfeed,9 Mcguire Point,Falls Church,Virginia,22047,US,1-(571)810-7952
30,632893,Avamba,0 Loeprich Plaza,Gilbert,Arizona,85297,US,1-(480)645-4352
31,393132,Yakitri,90571 Leroy Way,High Point,North Carolina,27264,US,1-(336)963-9853
32,073335,Skinix,17 Holmberg Alley,Huntington,West Virginia,25705,US,1-(304)625-8342
33,320432,Izio,8 Bonner Pass,North Hollywood,California,91616,US,1-(213)546-6411
34,511536,Fatz,3558 Oak Valley Court,Evansville,Indiana,47712,US,1-(812)782-4941
35,904111,Katz,693 Pond Lane,Tulsa,Oklahoma,74103,US,1-(918)711-8050
36,850878,Jabbercube,51 Delaware Road,Trenton,New Jersey,08650,US,1-(609)153-2932
37,134411,Edgeclub,0 Hayes Junction,Phoenix,Arizona,85020,US,1-(623)953-0733
38,084134,Brainlounge,00142 Laurel Road,Little Rock,Arkansas,72209,US,1-(501)429-6434
39,476067,Vitz,0654 Packers Terrace,San Luis Obispo,California,93407,US,1-(805)859-5078
40,672412,Roomm,7 Pond Avenue,Rockville,Maryland,20851,US,1-(301)325-6789
41,464395,Oyondu,18 Dovetail Pass,New Orleans,Louisiana,70129,US,1-(504)463-8650
42,113333,Midel,153 Rutledge Pass,Springfield,Illinois,62756,US,1-(217)108-9443
43,427696,Realbridge,60338 Maywood Way,Toledo,Ohio,43666,US,1-(419)630-9611
44,417060,Youtags,923 Barnett Park,Tulsa,Oklahoma,74108,US,1-(918)446-1821
45,061772,Linkbridge,39724 Canary Junction,Springfield,Massachusetts,01129,US,1-(413)383-3586
46,900466,Jabbertype,94 Jana Park,Tucson,Arizona,85720,US,1-(520)925-9787
47,514198,Zoombox,23 Lindbergh Street,Chicago,Illinois,60674,US,1-(312)745-5317
48,608834,Oyondu,0166 Luster Drive,Shawnee Mission,Kansas,66276,US,1-(913)261-9267
49,456237,Divanoodle,968 Stuart Circle,Lake Charles,Louisiana,70607,US,1-(337)784-9937
50,970657,Realbridge,2 Pond Hill,Brooklyn,New York,11220,US,1-(718)398-3947
51,944463,Browsetype,88 6th Alley,Tucson,Arizona,85754,US,1-(520)826-1788
52,561563,Skimia,3 Ramsey Street,El Paso,Texas,79955,US,1-(915)646-1298
53,263382,Dabshots,3494 Bultman Center,Tampa,Florida,33610,US,1-(813)374-4607
54,194480,Tagpad,4372 Buena Vista Parkway,Topeka,Kansas,66667,US,1-(785)593-4318
55,423586,Shufflester,410 Delladonna Circle,Dallas,Texas,75265,US,1-(214)115-2553
56,798159,Jaxworks,11 Westport Way,Toledo,Ohio,43605,US,1-(419)861-8393
57,298355,Kamba,0815 Beilfuss Court,Jamaica,New York,11407,US,1-(516)466-1355
58,296120,Zava,321 Dwight Hill,Philadelphia,Pennsylvania,19120,US,1-(267)922-5498
59,875787,Gabspot,90458 Mccormick Place,Albuquerque,New Mexico,87140,US,1-(505)952-9526
60,392096,Skipfire,3597 Fallview Park,Knoxville,Tennessee,37939,US,1-(865)809-1466
61,203088,Zazio,85589 Cordelia Court,Peoria,Illinois,61651,US,1-(309)968-1887
62,488495,Viva,33 Mccormick Trail,Washington,District of Columbia,20260,US,1-(202)395-1469
63,211110,Mydeo,1 Ronald Regan Way,Tuscaloosa,Alabama,35405,US,1-(205)724-3300
64,886451,Jabbersphere,2 Talmadge Center,Philadelphia,Pennsylvania,19160,US,1-(215)275-9642
65,817954,Topiczoom,6249 Clove Place,Albany,New York,12262,US,1-(518)137-9811
66,936675,Youbridge,38 Del Mar Hill,Birmingham,Alabama,35225,US,1-(205)850-4315
67,280878,Skiptube,297 6th Court,Washington,District of Columbia,20503,US,1-(202)221-5105
68,842591,Cogibox,55 Maple Wood Pass,Providence,Rhode Island,02912,US,1-(401)798-7899
69,405298,Realcube,88241 Artisan Pass,Charlotte,North Carolina,28247,US,1-(704)750-2081
70,964529,Tagfeed,64 Haas Junction,Miami,Florida,33111,US,1-(786)703-8376
71,473264,Eayo,2 Memorial Court,Metairie,Louisiana,70033,US,1-(504)528-1101
72,311197,Yombu,0 Cordelia Hill,Chicago,Illinois,60609,US,1-(773)123-5777
73,814705,Eazzy,3 Anderson Circle,Milwaukee,Wisconsin,53263,US,1-(414)909-6240
74,593590,Yadel,4 Lighthouse Bay Center,Katy,Texas,77493,US,1-(832)549-1343
75,947270,Thoughtmix,191 Kipling Drive,Stamford,Connecticut,06912,US,1-(203)304-9492
76,260660,Skippad,43557 Blackbird Plaza,Mesquite,Texas,75185,US,1-(214)936-4372
77,459691,Voonyx,027 Service Center,Cheyenne,Wyoming,82007,US,1-(307)448-9792
78,992155,Photofeed,3603 Hayes Parkway,Philadelphia,Pennsylvania,19093,US,1-(215)251-5218
79,246172,Snaptags,53 Evergreen Junction,Corpus Christi,Texas,78410,US,1-(361)845-9969
80,047042,Brightbean,2 Namekagon Hill,Rockford,Illinois,61105,US,1-(815)813-7643
